epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.3137,0.19899,0.99793,1,0.00747,0.000555363,0.000555363,0.000555363
2,76.4082,0.05605,0.99904,1,0.00447,0.00105603,0.00105603,0.00105603
3,109.993,0.05432,0.99809,1,0.00983,0.00150169,0.00150169,0.00150169
4,143.066,0.03097,0.9992,1,0.00804,0.00141945,0.00141945,0.00141945
5,176.41,0.02346,0.99952,1,0.00125,0.00133693,0.00133693,0.00133693
6,210.063,0.02054,0.9992,1,0.00264,0.00125442,0.00125442,0.00125442
7,243.908,0.01303,0.9992,1,0.00196,0.0011719,0.0011719,0.0011719
8,279.068,0.01435,0.99952,1,0.00149,0.00108938,0.00108938,0.00108938
9,314.095,0.01109,0.99968,1,0.00084,0.00100687,0.00100687,0.00100687
10,353.224,0.01014,1,1,1e-05,0.000924352,0.000924352,0.000924352
11,388.313,0.0063,1,1,1e-05,0.000841835,0.000841835,0.000841835
12,422.846,0.00839,1,1,7e-05,0.000759318,0.000759318,0.000759318
13,459.852,0.00563,1,1,2e-05,0.000676802,0.000676802,0.000676802
14,494.241,0.00536,1,1,0,0.000594286,0.000594286,0.000594286
15,528.449,0.00394,1,1,0,0.000511769,0.000511769,0.000511769
16,564.055,0.00375,1,1,0,0.000429253,0.000429253,0.000429253
17,601.273,0.00352,1,1,0,0.000346736,0.000346736,0.000346736
18,636.142,0.00162,1,1,0,0.00026422,0.00026422,0.00026422
19,673.785,0.0011,1,1,0,0.000181703,0.000181703,0.000181703
20,712.005,0.00096,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
1,72.0505,0.15018,0.99729,1,0.00919,0.000555363,0.000555363,0.000555363
2,138.402,0.06193,0.99394,1,0.01522,0.00105603,0.00105603,0.00105603
3,202.805,0.05635,0.99601,1,0.01327,0.00150169,0.00150169,0.00150169
4,266.259,0.0311,0.99569,1,0.01167,0.00141945,0.00141945,0.00141945
5,329.738,0.02162,0.99936,1,0.00338,0.00133693,0.00133693,0.00133693
6,393.587,0.02187,0.99984,1,0.00086,0.00125442,0.00125442,0.00125442
7,457.223,0.01375,1,1,0.00015,0.0011719,0.0011719,0.0011719
8,520.8,0.0132,0.99936,1,0.00215,0.00108938,0.00108938,0.00108938
9,585.07,0.01188,0.99968,1,0.00069,0.00100687,0.00100687,0.00100687
10,650.756,0.00922,1,1,6e-05,0.000924352,0.000924352,0.000924352
11,716.433,0.00676,0.99984,1,0.00076,0.000841835,0.000841835,0.000841835
12,781.514,0.0073,0.99984,1,0.00025,0.000759318,0.000759318,0.000759318
13,846.794,0.00639,1,1,4e-05,0.000676802,0.000676802,0.000676802
14,914.182,0.0042,1,1,2e-05,0.000594286,0.000594286,0.000594286
15,978.345,0.00373,1,1,1e-05,0.000511769,0.000511769,0.000511769
16,1042.42,0.0025,1,1,0,0.000429253,0.000429253,0.000429253
17,1106.08,0.00295,1,1,0,0.000346736,0.000346736,0.000346736
18,1169.46,0.00219,1,1,0,0.00026422,0.00026422,0.00026422
19,1232.99,0.00137,1,1,0,0.000181703,0.000181703,0.000181703
20,1296.23,0.00079,1,1,0,9.91865e-05,9.91865e-05,9.91865e-05
